name;price;unit_price;ean;nutriscore;promo;url
;5,65 €;;3760316231778;;;https://www.carrefour.fr/p/cafe-moulu-intensite-8-perou-cafe-joyeux-3760316231778
Café Soluble NESCAFE;8,02 €;40.10 € / KG;7613036451253;;Ouvrir description de la promotion Le 2ème à -60%;https://www.carrefour.fr/p/cafe-soluble-nescafe-7613036451253?t=39473
Café en Grains Barista 100% Arabica Intensité 6 LAVAZZA;22,50 €;22.50 € / KG;8000070025035;;Ouvrir description de la promotion Le 2ème à -50%;https://www.carrefour.fr/p/cafe-en-grains-barista-100-arabica-intensite-6-lavazza-8000070025035?t=39473
Café Capsules Espresso Intensité 5 NESCAFE DOLCE GUSTO;4,95 €;56.25 € / KG;7613037928532;;Ouvrir description de la promotion Le 2ème à -60%;https://www.carrefour.fr/p/cafe-capsules-espresso-intensite-5-nescafe-dolce-gusto-7613037928532?t=39473
Café Dosettes Classique Compatible Senseo SENSEO;17,99 €;21.62 € / KG;8711000705582;;Ouvrir description de la promotion 30% d'économies;https://www.carrefour.fr/p/cafe-dosettes-classique-compatible-senseo-senseo-8711000705582?t=39473
Café Dosettes Long L'Or Compatible Tassimo TASSIMO;9,18 €;44.13 € / KG;8711000399750;;Ouvrir description de la promotion 25% d'économies;https://www.carrefour.fr/p/cafe-dosettes-long-l-or-compatible-tassimo-tassimo-8711000399750?t=39473
Café Capsules Blonde Espresso Roast Intensité 6 Compatible Nespresso STARBUCKS;4,15 €;78.30 € / KG;7613036961561;;Ouvrir description de la promotion Prenez en 3 = Payez en 2;https://www.carrefour.fr/p/cafe-capsules-blonde-espresso-roast-intensite-6-compatible-nespresso-starbucks-7613036961561?t=39473
Café Capsules Classico Intensité 9 Compatible Nespresso LAVAZZA;9,69 €;56.67 € / KG;8000070053861;;Ouvrir description de la promotion Le 2ème à -60%;https://www.carrefour.fr/p/cafe-capsules-classico-intensite-9-compatible-nespresso-lavazza-8000070053861?t=39473
Café Dosettes Espresso Intensité 5 NESCAFE DOLCE GUSTO NEO;4,50 €;68.18 € / KG;8445290454782;;Ouvrir description de la promotion 34% d'économies;https://www.carrefour.fr/p/cafe-dosettes-espresso-intensite-5-nescafe-dolce-gusto-neo-8445290454782?t=39473
Chicorée Soluble Original RICORE;3,85 €;21.39 € / KG;7613034227775;;;https://www.carrefour.fr/p/chicoree-soluble-original-ricore-7613034227775
Café en Grains Blonde Espresso Roast 100% Arabica Intensité 6 STARBUCKS;8,31 €;18.47 € / KG;7613037204797;;Ouvrir description de la promotion 1 acheté = 34% de remise;https://www.carrefour.fr/p/cafe-en-grains-blonde-espresso-roast-100-arabica-intensite-6-starbucks-7613037204797?t=39473
Café Moulu 100% Arabica Doux Brésil JACQUES VABRE;4,15 €;16.60 € / KG;8711000523360;;Ouvrir description de la promotion Le 2ème à -68%;https://www.carrefour.fr/p/cafe-moulu-100-arabica-doux-bresil-jacques-vabre-8711000523360?t=39473
Café Moulu Espresso Italiano 100% Arabica Intensité 5 LAVAZZA;14,79 €;14.79 € / KG;8000070074491;;Ouvrir description de la promotion Vu en catalogue;https://www.carrefour.fr/p/cafe-moulu-espresso-italiano-100-arabica-intensite-5-lavazza-8000070074491?t=39473
;3,45 €;;8711000360545;;;https://www.carrefour.fr/p/cafe-capsules-lungo-intensite-5-compatible-nespresso-l-or-8711000360545
