name;price;unit_price;ean;nutriscore;promo;url
;2,39 €;;3033491485763;;;https://www.carrefour.fr/p/yaourt-a-boire-vanille-cookie-proteine-0-mg-hipro-3033491485763
Skyr protéiné nature 0% MG YOPLAIT;2,19 €;5.48 € / KG;3329770073265;A;Ouvrir description de la promotion Le 2ème à -60%;https://www.carrefour.fr/p/skyr-proteine-nature-0-mg-yoplait-3329770073265?t=36993
Lait vitaminé Viva CANDIA;6,90 €;1.15 € / L;3176571991003;;;https://www.carrefour.fr/p/lait-vitamine-viva-candia-3176571991003
Skyr protéiné sur lit de fruits rouges 0% MG YOPLAIT;2,25 €;5.62 € / KG;3329770073272;A;Ouvrir description de la promotion Le 2ème à -60%;https://www.carrefour.fr/p/skyr-proteine-sur-lit-de-fruits-rouges-0-mg-yoplait-3329770073272?t=36993
Skyr protéiné nature 0% MG YOPLAIT;3,39 €;3.99 € / KG;3329770077003;A;Ouvrir description de la promotion Le 2ème à -60%;https://www.carrefour.fr/p/skyr-proteine-nature-0-mg-yoplait-3329770077003?t=36993
Beaufort AOP;6,58 €;32.90 € / KG;3294583173177;;;https://www.carrefour.fr/p/beaufort-aop-3294583173177?t=36993
Beaufort AOP;6,58 €;32.90 € / KG;3294583173207;U;;https://www.carrefour.fr/p/beaufort-aop-3294583173207?t=36993
Beaufort AOP;6,58 €;32.90 € / U;3523680403598;;;https://www.carrefour.fr/p/beaufort-aop-3523680403598?t=36993
Yaourts à boire saveur vanille ACTIMEL;3,56 €;3.56 € / KG;3033491988202;;Ouvrir description de la promotion Le 2ème à -60%;https://www.carrefour.fr/p/yaourts-a-boire-saveur-vanille-actimel-3033491988202
Fromage Beaufort AOP;6,58 €;32.90 € / KG;3276551823864;;;https://www.carrefour.fr/p/fromage-beaufort-aop-3276551823864?t=36993
Fromage Beaufort AOP;6,58 €;32.90 € / KG;3276555430266;;;https://www.carrefour.fr/p/fromage-beaufort-aop-3276555430266?t=36993
Fromage Râpé Emmental ENTREMONT;3,73 €;7.46 € / KG;3123930715008;D;Ouvrir description de la promotion PROMO : 34%;https://www.carrefour.fr/p/fromage-rape-emmental-entremont-3123930715008?t=36993
Yaourts à boire fraise banane ACTIMEL;3,56 €;3.56 € / KG;3033491987915;;Ouvrir description de la promotion Le 2ème à -60%;https://www.carrefour.fr/p/yaourts-a-boire-fraise-banane-actimel-3033491987915
Œufs frais de poules élevées au sol de poules élevées au sol CARREFOUR CLASSIC';2,99 €;0.25 € / U;3560071098285;A;Ouvrir description de la promotion Le 2ème à -30%;https://www.carrefour.fr/p/oeufs-frais-de-poules-elevees-au-sol-de-poules-elevees-au-sol-carrefour-classic-3560071098285?t=36993
Beurre Doux Gastronomique PRESIDENT;5,69 €;11.38 € / KG;3155251207740;U;Ouvrir description de la promotion Le 2ème à -50%;https://www.carrefour.fr/p/beurre-doux-gastronomique-president-3155251207740?t=36993
Yaourt aux fruits mixés fraise framboise pêche abricot DANONE VELOUTE;3,89 €;2.59 € / KG;3033491579752;;;https://www.carrefour.fr/p/yaourt-aux-fruits-mixes-fraise-framboise-peche-abricot-danone-veloute-3033491579752
Fromage Enfant Goûter Mini BABYBEL;4,35 €;16.48 € / KG;3073781178005;;Ouvrir description de la promotion Le 2ème à -60%;https://www.carrefour.fr/p/fromage-enfant-gouter-mini-babybel-3073781178005?t=36993
Œufs bio moyen CARREFOUR BIO;3,59 €;0.36 € / U;3245412846991;A;Ouvrir description de la promotion 2 achetés = 6,6€;https://www.carrefour.fr/p/oeufs-bio-moyen-carrefour-bio-3245412846991?t=36993
Lait Aux 10 Vitamines CANDIA;10,98 €;1.37 € / L;3533631905576;U;Ouvrir description de la promotion Le 2ème à -50%;https://www.carrefour.fr/p/lait-aux-10-vitamines-candia-3533631905576?t=36993
Emmental râpé fondant CARREFOUR CLASSIC';4,09 €;8.18 € / KG;3270190207689;C;Ouvrir description de la promotion 2 achetés = 7,78€;https://www.carrefour.fr/p/emmental-rape-fondant-carrefour-classic-3270190207689?t=36993
Camembert Le Caractère CARREFOUR;1,85 €;7.40 € / KG;3560071082444;D;-15% MARDI PASS;https://www.carrefour.fr/p/camembert-le-caractere-carrefour-3560071082444?t=36993
Cheddar CARREFOUR;4,75 €;15.83 € / KG;3560070251216;D;-15% MARDI PASS;https://www.carrefour.fr/p/cheddar-carrefour-3560070251216?t=36993
Yaourts nature DANONE;0,99 €;1.98 € / KG;3033490004521;;;https://www.carrefour.fr/p/yaourts-nature-danone-3033490004521
Compote Pomme CARREFOUR;1,69 €;2.11 € / KG;3245412730764;A;-15% MARDI PASS;https://www.carrefour.fr/p/compote-pomme-carrefour-3245412730764?t=36993
Compote Pomme Poire CARREFOUR;1,09 €;2.72 € / KG;3245412730870;A;-15% MARDI PASS;https://www.carrefour.fr/p/compote-pomme-poire-carrefour-3245412730870?t=36993
Compote Pomme Fraise CARREFOUR;1,09 €;2.72 € / KG;3245412730917;A;-15% MARDI PASS;https://www.carrefour.fr/p/compote-pomme-fraise-carrefour-3245412730917?t=36993
