name;price;unit_price;ean;nutriscore;promo;url
Beaufort AOP;6,58 €;32.90 € / KG;3294583173177;;;https://www.carrefour.fr/p/beaufort-aop-3294583173177?t=36999
Beaufort AOP;6,58 €;32.90 € / KG;3294583173207;U;;https://www.carrefour.fr/p/beaufort-aop-3294583173207?t=36999
Fromage Râpé Emmental ENTREMONT;3,73 €;7.46 € / KG;3123930715008;D;Ouvrir description de la promotion PROMO : 34%;https://www.carrefour.fr/p/fromage-rape-emmental-entremont-3123930715008?t=36999
Fromage Enfant Goûter Mini BABYBEL;4,35 €;16.48 € / KG;3073781178005;;Ouvrir description de la promotion Le 2ème à -60%;https://www.carrefour.fr/p/fromage-enfant-gouter-mini-babybel-3073781178005?t=36999
Emmental râpé fondant CARREFOUR CLASSIC';4,09 €;8.18 € / KG;3270190207689;C;Ouvrir description de la promotion 2 achetés = 7,78€;https://www.carrefour.fr/p/emmental-rape-fondant-carrefour-classic-3270190207689?t=36999
Mozzarella di Bufala Campana AOP CARREFOUR EXTRA;3,70 €;12.33 € / KG;3560071453978;C;-15% MARDI PASS;https://www.carrefour.fr/p/mozzarella-di-bufala-campana-aop-carrefour-extra-3560071453978?t=36999
Fromage Mozzarella Buffala Campana AOP L'ITALIE DES FROMAGES;4,90 €;19.60 € / KG;8059070740004;U;Ouvrir description de la promotion Le 2ème à -50%;https://www.carrefour.fr/p/fromage-mozzarella-buffala-campana-aop-l-italie-des-fromages-8059070740004?t=36999
Mozzarella CASA AZZURRA;1,05 €;8.40 € / KG;3760056260113;C;Ouvrir description de la promotion 30% d'économies;https://www.carrefour.fr/p/mozzarella-casa-azzurra-3760056260113?t=36999
Mascarpone CARREFOUR CLASSIC';3,10 €;6.20 € / KG;3560070484560;D;-15% MARDI PASS;https://www.carrefour.fr/p/mascarpone-carrefour-classic-3560070484560?t=36999
Fromage feta CARREFOUR EXTRA;2,45 €;12.25 € / KG;3560070149278;C;Ouvrir description de la promotion Le 2ème à -30%;https://www.carrefour.fr/p/fromage-feta-carrefour-extra-3560070149278?t=36999
Mozzarella Di Bufala Campana AOP CARREFOUR EXTRA;1,65 €;13.20 € / KG;5400101225091;;Ouvrir description de la promotion 2 achetés = 3€;https://www.carrefour.fr/p/mozzarella-di-bufala-campana-aop-carrefour-extra-5400101225091?t=36999
Fromage à Cuisiner Mozzarella CARREFOUR CLASSIC';3,05 €;7.62 € / KG;3560070803699;E;Ouvrir description de la promotion 2 achetés = 5,6€;https://www.carrefour.fr/p/fromage-a-cuisiner-mozzarella-carrefour-classic-3560070803699?t=36999
Fromage de Chèvre SOIGNON;3,29 €;10.97 € / KG;3523230029681;D;Ouvrir description de la promotion Prenez en 3 = Payez en 2;https://www.carrefour.fr/p/fromage-de-chevre-soignon-3523230029681?t=36999
Fromage le Crémeux Doux SOIGNON;3,95 €;13.17 € / KG;3523230064705;D;Ouvrir description de la promotion 30% d'économies;https://www.carrefour.fr/p/fromage-le-cremeux-doux-soignon-3523230064705?t=36999
Fromage CAPRICE DES DIEUX;2,09 €;10.45 € / KG;3161716052008;U;Ouvrir description de la promotion PROMO : 30%;https://www.carrefour.fr/p/fromage-caprice-des-dieux-3161716052008?t=36999
Fromage L'Ortolan Doux Et Nature FROMAGERIE MILLERET;2,75 €;11.00 € / KG;3272320012507;D;Ouvrir description de la promotion Le 2ème à -50%;https://www.carrefour.fr/p/fromage-l-ortolan-doux-et-nature-fromagerie-milleret-3272320012507?t=36999
Fromage à raclette classique sans croûte CARREFOUR ORIGINAL;3,99 €;9.98 € / KG;3560070511891;D;Ouvrir description de la promotion Le 2ème à -30%;https://www.carrefour.fr/p/fromage-a-raclette-classique-sans-croute-carrefour-original-3560070511891?t=36999
