name;price;unit_price;ean;nutriscore;promo;url
Avocat;1,19 €;1.19 € / U;3000001037576;;Ouvrir description de la promotion Vu en catalogue;https://www.carrefour.fr/p/avocat-3000001037576?t=1882
Yaourt Vanille Protéiné HIPRO;3,39 €;7.06 € / KG;3033492076526;;;https://www.carrefour.fr/p/yaourt-vanille-proteine-hipro-3033492076526
Prunes bio rouges Allo;2,99 €;5.98 € / KG;3276556241205;;Ouvrir description de la promotion A saisir;https://www.carrefour.fr/p/prunes-bio-rouges-allo-3276556241205?t=1882
Bananes Max Havelaar CARREFOUR BIO;1,99 €;1.99 € / U;3523680438224;;-10% CLUB;https://www.carrefour.fr/p/bananes-max-havelaar-carrefour-bio-3523680438224?t=1882
Ananas Extra Sweet;2,29 €;2.29 € / U;3000001033257;;;https://www.carrefour.fr/p/ananas-extra-sweet-3000001033257?t=1882
Citron vert;0,49 €;0.49 € / U;3276552310721;;Ouvrir description de la promotion 4 achetés = 1,5€;https://www.carrefour.fr/p/citron-vert-3276552310721?t=1882
Citron jaune;0,69 €;0.69 € / U;3000001032670;;Ouvrir description de la promotion 4 achetés = 2,5€;https://www.carrefour.fr/p/citron-jaune-3000001032670?t=1882
Smoothie ananas banane et coco INNOCENT;3,19 €;4.25 € / L;5038862366502;;;https://www.carrefour.fr/p/smoothie-ananas-banane-et-coco-innocent-5038862366502
Figues Bio;2,99 €;11.96 € / KG;3523680364486;;-10% CLUB;https://www.carrefour.fr/p/figues-bio-3523680364486?t=1882
Fruit de la passion;1,49 €;1.49 € / U;3000001022961;;Ouvrir description de la promotion 2 achetés = 2,5€;https://www.carrefour.fr/p/fruit-de-la-passion-3000001022961?t=1882
Kiwi jaune;0,99 €;0.99 € / U;3276552308865;;Ouvrir description de la promotion 3 achetés = 2,5€;https://www.carrefour.fr/p/kiwi-jaune-3276552308865?t=1882
Boisson pétillante juicy water fruits rouges INNOCENT;1,75 €;5.30 € / L;5038862003438;;;https://www.carrefour.fr/p/boisson-petillante-juicy-water-fruits-rouges-innocent-5038862003438
Kiwi Hayward;0,59 €;0.59 € / U;3276552308414;;Ouvrir description de la promotion 4 achetés = 2€;https://www.carrefour.fr/p/kiwi-hayward-3276552308414?t=1882
Mandarines vrac;3,59 €;3.59 € / KG;3000000033098;;;https://www.carrefour.fr/p/mandarines-vrac-3000000033098?t=1882
Smoothie antioxydant green INNOCENT;3,99 €;5.32 € / L;5038862234115;;;https://www.carrefour.fr/p/smoothie-antioxydant-green-innocent-5038862234115
Pomelo rouge;0,99 €;0.99 € / U;3000001035008;;Ouvrir description de la promotion 2 achetés = 1,8€;https://www.carrefour.fr/p/pomelo-rouge-3000001035008?t=1882
Raisin blanc Bio;2,99 €;5.98 € / KG;3270190218579;;Ouvrir description de la promotion A saisir;https://www.carrefour.fr/p/raisin-blanc-bio-3270190218579?t=1882
Concombre;1,29 €;1.29 € / U;3000001038733;;Ouvrir description de la promotion 2 achetés = 2,2€;https://www.carrefour.fr/p/concombre-3000001038733?t=1882
Avocat Bio;1,49 €;1.49 € / U;3523680466173;;Ouvrir description de la promotion 2 achetés = 2,5€;https://www.carrefour.fr/p/avocat-bio-3523680466173?t=1882
Avocat Hass Bio;1,49 €;1.49 € / U;3523680436213;;Ouvrir description de la promotion 2 achetés = 2,5€;https://www.carrefour.fr/p/avocat-hass-bio-3523680436213?t=1882
Avocats Mûrs à Point CARREFOUR SELECTION;3,49 €;3.49 € / U;3523680528994;;;https://www.carrefour.fr/p/avocats-murs-a-point-carrefour-selection-3523680528994?t=1882
Smoothie défense exotique INNOCENT;3,79 €;5.05 € / L;5038862002752;;;https://www.carrefour.fr/p/smoothie-defense-exotique-innocent-5038862002752
Pommes de terre de consommation four, purée, potage CARREFOUR LE MARCHE;2,79 €;1.40 € / KG;3523680504233;;-15% MARDI PASS;https://www.carrefour.fr/p/pommes-de-terre-de-consommation-four-puree-potage-carrefour-le-marche-3523680504233?t=1882
Pommes de Terre de Consommation Blanches SIMPL;1,99 €;0.40 € / KG;3523680525474;;Ouvrir description de la promotion Vu en catalogue;https://www.carrefour.fr/p/pommes-de-terre-de-consommation-blanches-simpl-3523680525474?t=1882
Radis roses;1,29 €;1.29 € / U;3276557117929;;Ouvrir description de la promotion 2 achetés = 2,3€;https://www.carrefour.fr/p/radis-roses-3276557117929?t=1882
Kiwi Hayward Bio;3,99 €;0.66 € / U;3276559424773;;-10% CLUB;https://www.carrefour.fr/p/kiwi-hayward-bio-3276559424773?t=1882
Patates douces vrac;2,99 €;2.99 € / KG;3000000041376;;;https://www.carrefour.fr/p/patates-douces-vrac-3000000041376?t=1882
Carottes;2,49 €;1.66 € / KG;3276558773155;;;https://www.carrefour.fr/p/carottes-3276558773155?t=1882
Smoothie énergie boogie ruby INNOCENT;2,95 €;9.83 € / L;5038862237482;;;https://www.carrefour.fr/p/smoothie-energie-boogie-ruby-innocent-5038862237482
Carotte SIMPL;1,99 €;1.00 € / KG;3523680501867;;;https://www.carrefour.fr/p/carotte-simpl-3523680501867?t=1882
Mangue;1,99 €;1.99 € / U;3000001036159;;;https://www.carrefour.fr/p/mangue-3000001036159?t=1882
Oranges à dessert;3,79 €;2.53 € / KG;3276558567594;;-15% MARDI PASS;https://www.carrefour.fr/p/oranges-a-dessert-3276558567594?t=1882
Oranges à jus;2,99 €;1.99 € / KG;3523680490703;;Ouvrir description de la promotion Vu en catalogue;https://www.carrefour.fr/p/oranges-a-jus-3523680490703?t=1882
Pommes Gala FILIERE QUALITE CARREFOUR;2,00 €;2.00 € / U;3276556130387;;-15% MARDI PASS;https://www.carrefour.fr/p/pommes-gala-filiere-qualite-carrefour-3276556130387?t=1882
Carottes vrac FILIERE QUALITE CARREFOUR;1,89 €;1.89 € / KG;3276558384832;;-15% MARDI PASS;https://www.carrefour.fr/p/carottes-vrac-filiere-qualite-carrefour-3276558384832?t=1882
Pommes de terre vapeur blanches micro-ondables FILIERE QUALITE CARREFOUR;1,00 €;2.00 € / KG;3523680519312;;-15% MARDI PASS;https://www.carrefour.fr/p/pommes-de-terre-vapeur-blanches-micro-ondables-filiere-qualite-carrefour-3523680519312?t=1882
Radis équeutés rouges;0,99 €;3.96 € / KG;3276550291671;;;https://www.carrefour.fr/p/radis-equeutes-rouges-3276550291671?t=1882
Fruit sec mélange nuts 'n' berries SEEBERGER;3,90 €;26.00 € / KG;4008258051030;;Ouvrir description de la promotion 34% d'économies;https://www.carrefour.fr/p/fruit-sec-melange-nuts-n-berries-seeberger-4008258051030?t=1882
Jus plus énergie chérie INNOCENT;3,05 €;4.07 € / L;5038862130462;C;Ouvrir description de la promotion Le 2ème à -60%;https://www.carrefour.fr/p/jus-plus-energie-cherie-innocent-5038862130462?t=1882
Jus Multifruits Frais Réveil Fruité Pur Jus TROPICANA;3,05 €;3.39 € / L;1210002000659;;Ouvrir description de la promotion Le 2ème à -50%;https://www.carrefour.fr/p/jus-multifruits-frais-reveil-fruite-pur-jus-tropicana-1210002000659?t=1882
Pruneaux d'Agen dénoyautés très gros MAITRE PRUNILLE;5,65 €;11.30 € / KG;3502490013944;A;Ouvrir description de la promotion Le 2ème à -68%;https://www.carrefour.fr/p/pruneaux-d-agen-denoyautes-tres-gros-maitre-prunille-3502490013944?t=1882
Mini pastèque;3,00 €;3.00 € / U;3523680510418;;-15% MARDI PASS;https://www.carrefour.fr/p/mini-pasteque-3523680510418?t=1882
Smoothie énergie tropical INNOCENT;3,99 €;5.32 € / L;5038862231756;;;https://www.carrefour.fr/p/smoothie-energie-tropical-innocent-5038862231756
Mirabelles vrac;3,75 €;7.50 € / KG;3000000035801;;;https://www.carrefour.fr/p/mirabelles-vrac-3000000035801?t=1882
Poires PETIT PRIX;2,49 €;2.49 € / KG;3276550230991;;;https://www.carrefour.fr/p/poires-petit-prix-3276550230991?t=1882
Poires Mûres à Point CARREFOUR SELECTION;3,99 €;3.99 € / U;3276558825113;;-15% MARDI PASS;https://www.carrefour.fr/p/poires-mures-a-point-carrefour-selection-3276558825113?t=1882
Smoothie mangue fruit de la passion et pomme INNOCENT;3,49 €;4.65 € / L;5038862364508;;;https://www.carrefour.fr/p/smoothie-mangue-fruit-de-la-passion-et-pomme-innocent-5038862364508
Raisin blanc sans pépins;3,99 €;7.98 € / KG;3276558441962;;-15% MARDI PASS;https://www.carrefour.fr/p/raisin-blanc-sans-pepins-3276558441962?t=1882
Raisins Blanc Sans Pépins CARREFOUR LE MARCHE;3,99 €;7.98 € / KG;3276558859002;;;https://www.carrefour.fr/p/raisins-blanc-sans-pepins-carrefour-le-marche-3276558859002?t=1882
Raisins Rose Sans Pépins CARREFOUR LE MARCHE;3,99 €;7.98 € / KG;3276558859019;;;https://www.carrefour.fr/p/raisins-rose-sans-pepins-carrefour-le-marche-3276558859019?t=1882
Raisins Noir Sans Pépins CARREFOUR LE MARCHE;3,99 €;7.98 € / KG;3276558859064;;;https://www.carrefour.fr/p/raisins-noir-sans-pepins-carrefour-le-marche-3276558859064?t=1882
Reine Claude en conversion Bio;2,70 €;5.40 € / KG;3523680418172;;;https://www.carrefour.fr/p/reine-claude-en-conversion-bio-3523680418172?t=1882
Boisson pétillante juicy water citron & citron vert INNOCENT;1,75 €;5.30 € / L;5038862003445;;;https://www.carrefour.fr/p/boisson-petillante-juicy-water-citron-citron-vert-innocent-5038862003445
Bananes SIMPL;0,99 €;0.99 € / U;3276558440996;;Ouvrir description de la promotion Vu en catalogue;https://www.carrefour.fr/p/bananes-simpl-3276558440996?t=1882
Abricots;6,19 €;6.19 € / KG;3276552165994;;;https://www.carrefour.fr/p/abricots-3276552165994?t=1882
Abricots REFLETS DE FRANCE;3,99 €;5.32 € / KG;3276555385726;;;https://www.carrefour.fr/p/abricots-reflets-de-france-3276555385726?t=1882
Smoothie fraise banane et pomme INNOCENT;2,59 €;10.36 € / L;5038862326100;;;https://www.carrefour.fr/p/smoothie-fraise-banane-et-pomme-innocent-5038862326100
Abricots Agroécologie REFLET DE FRANCE;3,79 €;9.48 € / KG;3276558774695;;;https://www.carrefour.fr/p/abricots-agroecologie-reflet-de-france-3276558774695?t=1882
Abricots agroécologie REFLETS DE FRANCE;3,99 €;5.32 € / KG;3276558794150;;;https://www.carrefour.fr/p/abricots-agroecologie-reflets-de-france-3276558794150?t=1882
Abricots PETIT PRIX;2,99 €;2.99 € / KG;3276550257806;;;https://www.carrefour.fr/p/abricots-petit-prix-3276550257806?t=1882
Abricots SIMPL;2,99 €;2.99 € / KG;3276558544687;;;https://www.carrefour.fr/p/abricots-simpl-3276558544687?t=1882
Abricots Bio;4,49 €;8.98 € / KG;3270190010326;;;https://www.carrefour.fr/p/abricots-bio-3270190010326?t=1882
