name;price;unit_price;ean;nutriscore;promo;url
;4,79 €;;3415581187717;;;https://www.carrefour.fr/p/glace-vanille-caramel-brownie-haagen-dazs-3415581187717
Purée délice aux carottes, potiron et crème BONDUELLE;3,55 €;4.55 € / KG;3083681066852;A;Ouvrir description de la promotion Le 2ème à -50%;https://www.carrefour.fr/p/puree-delice-aux-carottes-potiron-et-creme-bonduelle-3083681066852?t=2074
Glace vanille noix de macadamia HAAGEN-DAZS;4,79 €;11.98 € / KG;3415581122015;;Ouvrir description de la promotion 30% d'économies;https://www.carrefour.fr/p/glace-vanille-noix-de-macadamia-haagen-dazs-3415581122015
Glace au Chocolat HAAGEN DAZS;4,79 €;11.98 € / KG;3415581113716;;Ouvrir description de la promotion 30% d'économies;https://www.carrefour.fr/p/glace-au-chocolat-haagen-dazs-3415581113716?t=2074
Glace Bâtonnet Classic MAGNUM;5,59 €;9.32 € / KG;8711327607163;;Ouvrir description de la promotion Le 2ème à -50%;https://www.carrefour.fr/p/glace-batonnet-classic-magnum-8711327607163?t=2074
Frites Twister Assaisonnées LAMB WESTON;2,30 €;3.83 € / KG;8711571093231;C;Ouvrir description de la promotion PROMO : 34%;https://www.carrefour.fr/p/frites-twister-assaisonnees-lamb-weston-8711571093231?t=2074
Frites Grillées Sel et Poivre LAMB WESTON;2,30 €;4.60 € / KG;8711571093934;C;Ouvrir description de la promotion PROMO : 34%;https://www.carrefour.fr/p/frites-grillees-sel-et-poivre-lamb-weston-8711571093934?t=2074
Frites Tradition MCCAIN;3,60 €;2.40 € / KG;8710438129120;A;Ouvrir description de la promotion 34% d'économies;https://www.carrefour.fr/p/frites-tradition-mccain-8710438129120?t=2074
Glace Bâtonnet Pistache d'Anatolie et Crème NUII;4,39 €;15.46 € / KG;5900130036335;;;https://www.carrefour.fr/p/glace-batonnet-pistache-d-anatolie-et-creme-nuii-5900130036335
Filet de saumon sauvage MSC COSTA;6,99 €;18.64 € / KG;4008467054235;;Ouvrir description de la promotion PROMO : 30%;https://www.carrefour.fr/p/filet-de-saumon-sauvage-msc-costa-4008467054235?t=2074
Steak Haché Pur Bœuf 12%MG Grand Cru Charolais CHARAL;13,95 €;13.95 € / KG;3181231003354;B;Ouvrir description de la promotion Vu en catalogue;https://www.carrefour.fr/p/steak-hache-pur-boeuf-12-mg-grand-cru-charolais-charal-3181231003354?t=2074
Pizza Numero Uno Margherita ITALPIZZA;2,54 €;6.20 € / KG;8015673029861;C;Ouvrir description de la promotion PROMO : 34%;https://www.carrefour.fr/p/pizza-numero-uno-margherita-italpizza-8015673029861?t=2074
Glace cône Chocolat Blanc KINDER BUENO WHITE;4,79 €;19.31 € / KG;8000500384718;;;https://www.carrefour.fr/p/glace-cone-chocolat-blanc-kinder-bueno-white-8000500384718
Pizzas 3 fromages LA PIZZA DE MANOSQUE;10,99 €;6.43 € / KG;3424600000319;C;Ouvrir description de la promotion Vu en catalogue;https://www.carrefour.fr/p/pizzas-3-fromages-la-pizza-de-manosque-3424600000319?t=2074
Pizza Mac and Cheeses PIZZAIOLO;4,95 €;10.19 € / KG;4002084345745;;Ouvrir description de la promotion Vu en catalogue;https://www.carrefour.fr/p/pizza-mac-and-cheeses-pizzaiolo-4002084345745?t=2074
Rösti de pommes de terre et d'oignons MCCAIN;2,29 €;2.86 € / KG;8710438081275;;;https://www.carrefour.fr/p/roesti-de-pommes-de-terre-et-d-oignons-mccain-8710438081275
Glace Cône vanille fraise CARREFOUR;1,65 €;4.08 € / KG;3270190217671;D;Ouvrir description de la promotion Le 2ème à -30%;https://www.carrefour.fr/p/glace-cone-vanille-fraise-carrefour-3270190217671?t=2074
Oignons émincés CARREFOUR CLASSIC';1,95 €;1.95 € / KG;3270190208280;A;-15% MARDI PASS;https://www.carrefour.fr/p/oignons-eminces-carrefour-classic-3270190208280?t=2074
Champignons de Paris émincés CARREFOUR;1,95 €;1.95 € / KG;3270190021582;A;-15% MARDI PASS;https://www.carrefour.fr/p/champignons-de-paris-eminces-carrefour-3270190021582?t=2074
Pains au chocolat pur beurre CARREFOUR CLASSIC';2,99 €;7.12 € / KG;3560071006860;D;-15% MARDI PASS;https://www.carrefour.fr/p/pains-au-chocolat-pur-beurre-carrefour-classic-3560071006860?t=2074
Mini glaces assortiment CARREFOUR EXTRA;3,09 €;12.07 € / KG;3560070828289;E;Ouvrir description de la promotion Le 2ème à -30%;https://www.carrefour.fr/p/mini-glaces-assortiment-carrefour-extra-3560070828289?t=2074
Glace menthe chocolat CARREFOUR;2,69 €;5.38 € / KG;3560071249656;D;Ouvrir description de la promotion Le 2ème à -30%;https://www.carrefour.fr/p/glace-menthe-chocolat-carrefour-3560071249656?t=2074
Potatoes aux herbes MCCAIN;2,75 €;3.53 € / KG;8710438114638;;;https://www.carrefour.fr/p/potatoes-aux-herbes-mccain-8710438114638
Glace à l'eau Ice jets CARREFOUR CLASSIC';2,75 €;5.73 € / KG;3560071168773;C;Ouvrir description de la promotion Le 2ème à -30%;https://www.carrefour.fr/p/glace-a-l-eau-ice-jets-carrefour-classic-3560071168773?t=2074
Glace vanille CARREFOUR;1,65 €;3.30 € / KG;3560071016661;D;Ouvrir description de la promotion Le 2ème à -30%;https://www.carrefour.fr/p/glace-vanille-carrefour-3560071016661?t=2074
Glace à l'eau Ice Tubes CARREFOUR CLASSIC';2,75 €;3.37 € / KG;3560071247935;C;Ouvrir description de la promotion Le 2ème à -30%;https://www.carrefour.fr/p/glace-a-l-eau-ice-tubes-carrefour-classic-3560071247935?t=2074
Glace vanille de Madagascar Bio CARREFOUR BIO;3,15 €;7.00 € / KG;3560071438340;C;-10% CLUB;https://www.carrefour.fr/p/glace-vanille-de-madagascar-bio-carrefour-bio-3560071438340?t=2074
Sorbet citron CARREFOUR EXTRA;2,29 €;3.78 € / KG;3245411236366;C;-15% MARDI PASS;https://www.carrefour.fr/p/sorbet-citron-carrefour-extra-3245411236366?t=2074
Glace vanille fraise/vanille chocolat CARREFOUR CLASSIC';2,59 €;7.04 € / KG;3560071464790;D;-15% MARDI PASS;https://www.carrefour.fr/p/glace-vanille-fraise-vanille-chocolat-carrefour-classic-3560071464790?t=2074
Glace Cône chocolat pistache EXTREME;3,55 €;8.33 € / KG;7613035892866;;Ouvrir description de la promotion 30% d'économies;https://www.carrefour.fr/p/glace-cone-chocolat-pistache-extreme-7613035892866
Glace bonbon Dessert glacé Gold Caramel Billionaire x12 MAGNUM;5,55 €;33.04 € / KG;8711327639942;;;https://www.carrefour.fr/p/glace-bonbon-dessert-glace-gold-caramel-billionaire-x12-magnum-8711327639942
Glaces Cookie Dough CARREFOUR SENSATION;3,99 €;13.85 € / KG;3560071484651;D;-15% MARDI PASS;https://www.carrefour.fr/p/glaces-cookie-dough-carrefour-sensation-3560071484651?t=2074
